Sequence	Annotation	Library_01	Library_02	Library_09	Library_10	Library_17	Library_18	Library_25	Library_26	Library_33	Library_34	Library_03	Library_04	Library_11	Library_12	Library_19	Library_20	Library_27	Library_28	Library_35	Library_36
URS00008D1573_10116:rRNA:Rattus_norvegicus	NA	330	456	738	208	550	192	462	654	209	280	173	1039	621	2686	2340	592	692	1280	1297	821
URS00008D160B_10116:rRNA:Rattus_norvegicus	NA	2	1	5	0	3	3	0	4	10	0	0	7	3	6	5	6	3	2	6	11
URS00008D1DEC_10116:rRNA:Rattus_norvegicus	NA	439	530	902	245	670	248	620	880	221	321	223	1325	857	3218	2894	718	889	1642	1524	970
URS00008D1F6F_10116:rRNA:Rattus_norvegicus	NA	2	0	2	0	0	0	0	1	0	0	0	1	2	1	2	2	1	1	1	3
URS000090178B_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	0	2	0	0	1	0	2	2	1	1	1	1	0
URS0000902D09_10116:rRNA:Rattus_norvegicus	NA	54	77	128	36	93	46	26	41	4	29	39	136	94	106	213	45	130	146	167	47
URS0000909F75_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	3	0
URS000091179F_10116:rRNA:Rattus_norvegicus	NA	7098	5139	11749	3716	8236	3496	9175	3220	349	4014	3415	6724	4135	3500	4815	1638	8080	11965	4707	2437
URS0000914659_10116:rRNA:Rattus_norvegicus	NA	1	1	0	0	0	2	0	0	4	1	0	0	0	0	2	0	0	0	0	0
URS0000914707_10116:rRNA:Rattus_norvegicus	NA	6	3	3	3	2	4	0	2	0	0	4	10	5	4	2	3	7	0	0	2
URS00009173F1_10116:rRNA:Rattus_norvegicus	NA	5	8	8	1	2	2	1	7	3	0	1	19	3	59	36	8	3	17	8	12
URS0000919F5B_10116:rRNA:Rattus_norvegicus	NA	0	1	5	0	3	2	0	3	0	0	0	8	1	6	4	5	3	2	5	9
URS000091AE79_10116:rRNA:Rattus_norvegicus	NA	7	9	13	4	11	4	2	9	3	2	3	28	8	20	31	8	13	18	30	10
URS0000922651_10116:rRNA:Rattus_norvegicus	NA	2	2	5	2	2	1	2	7	4	2	1	5	0	7	13	0	5	8	6	3
URS000092A4E6_10116:rRNA:Rattus_norvegicus	NA	11	8	45	4	7	5	5	6	46	11	5	28	3	53	58	11	27	21	45	23
URS000092AD7A_10116:rRNA:Rattus_norvegicus	NA	2	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
URS00009365D8_10116:rRNA:Rattus_norvegicus	NA	1	2	0	1	4	1	0	0	0	2	1	1	0	2	1	0	1	0	0	0
URS0000937011_10116:rRNA:Rattus_norvegicus	NA	34	15	56	20	27	22	22	22	3	17	15	66	35	94	129	44	50	56	80	67
URS000093AA4A_10116:rRNA:Rattus_norvegicus	NA	2	2	23	6	0	0	7	16	7	32	2	4	0	2	23	4	8	5	2	4
URS000093B363_10116:rRNA:Rattus_norvegicus	18S-rRNA	758	640	1292	375	1004	621	1394	1039	292	582	310	1755	1286	3869	3749	1235	1257	2653	2615	1828
URS000093DFDB_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000093E0CA_10116:rRNA:Rattus_norvegicus	NA	57	52	192	31	83	29	52	136	75	61	26	152	99	223	335	81	133	178	161	177
URS0000943CF9_10116:rRNA:Rattus_norvegicus	NA	13	8	59	6	15	5	1	20	69	5	3	21	35	43	77	10	19	20	19	11
URS0000946A4E_10116:rRNA:Rattus_norvegicus	NA	1077	2266	2156	793	7429	2197	2293	709	177	733	725	3594	856	2641	703	439	2955	4026	734	823
URS000094A2F1_10116:rRNA:Rattus_norvegicus	5S-rRNA	65	151	115	74	72	41	16	27	3	45	72	342	66	252	320	88	185	135	218	110
URS000094BA1E_10116:rRNA:Rattus_norvegicus	NA	4	4	7	3	5	2	1	5	2	2	2	20	3	17	23	5	11	9	21	7
URS000094D92F_10116:rRNA:Rattus_norvegicus	NA	3	1	4	3	1	0	1	0	15	3	1	3	0	1	6	1	3	3	1	1
URS0000950074_10116:rRNA:Rattus_norvegicus	NA	0	0	14	1	4	1	11	4	1	2	2	1	5	3	16	1	1	5	2	1
URS00009545B3_10116:rRNA:Rattus_norvegicus	NA	7	11	68	7	12	5	8	36	11	14	5	26	9	20	66	9	20	13	8	16
URS0000959A92_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	5	0	1	1	0	2	0	1	0	2	1	2	9	2	3	5	2	3
URS0000959E4B_10116:rRNA:Rattus_norvegicus	NA	13	11	60	8	14	5	3	10	87	13	5	21	6	20	51	10	20	16	6	13
URS000095E0F7_10116:rRNA:Rattus_norvegicus	NA	4	12	11	2	6	1	3	6	5	5	16	22	2	60	42	6	8	18	7	12
URS0000960338_10116:rRNA:Rattus_norvegicus	NA	9	0	6	1	2	1	5	15	1	4	6	14	9	114	202	60	9	16	21	37
URS0000968617_10116:rRNA:Rattus_norvegicus	NA	5	7	76	6	16	18	2	14	0	12	2	53	6	54	65	37	29	21	45	59
URS000096C621_10116:rRNA:Rattus_norvegicus	NA	10	0	6	1	3	1	4	14	3	2	6	14	9	116	202	60	9	15	21	34
URS0000970FEF_10116:rRNA:Rattus_norvegicus	NA	2	2	3	0	1	0	0	0	1	0	1	1	0	1	4	2	0	0	0	2
URS00009713B6_10116:rRNA:Rattus_norvegicus	NA	0	0	15	1	1	0	0	1	2	3	0	1	0	0	8	1	1	1	0	1
URS0000971876_10116:rRNA:Rattus_norvegicus	NA	8	8	73	9	20	13	4	24	1	9	4	37	13	62	98	20	28	21	31	28
URS00009718EB_10116:rRNA:Rattus_norvegicus	NA	39	69	319	57	106	42	42	113	14	89	27	174	65	255	416	99	147	191	170	217
URS0000972191_10116:rRNA:Rattus_norvegicus	NA	3	3	10	1	1	1	1	2	0	2	1	8	1	8	15	3	5	3	6	4
URS000097262E_10116:rRNA:Rattus_norvegicus	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
URS000097B3AD_10116:rRNA:Rattus_norvegicus	NA	80	19	65	20	53	29	123	145	15	39	20	82	137	126	314	93	90	139	167	85
URS000097CE27_10116:rRNA:Rattus_norvegicus	NA	15	15	98	12	19	8	4	19	19	18	9	41	7	43	119	25	39	32	25	39
URS0000986811_10116:rRNA:Rattus_norvegicus	NA	4	5	26	3	6	5	2	6	2	3	2	18	8	48	58	7	13	11	15	13
URS000098B084_10116:rRNA:Rattus_norvegicus	NA	27	43	117	24	52	17	24	52	8	28	20	84	58	95	180	47	69	82	66	82
URS000099111D_10116:rRNA:Rattus_norvegicus	NA	0	0	2	0	1	0	0	3	3	0	0	1	1	1	4	0	1	3	2	1
URS00009958A8_10116:rRNA:Rattus_norvegicus	NA	27	30	80	21	36	17	14	35	104	14	17	121	31	117	253	61	80	101	139	61
URS0000996F1C_10116:rRNA:Rattus_norvegicus	NA	0	0	2	0	0	0	0	0	1	0	0	1	0	0	5	1	0	0	1	0
URS000099B10D_10116:rRNA:Rattus_norvegicus	NA	7	0	0	0	0	0	0	2	28	0	2	8	0	9	2	0	0	5	0	2
URS00009A56FA_10116:rRNA:Rattus_norvegicus	NA	2	1	8	0	1	0	0	2	6	0	0	4	0	3	7	3	2	1	1	2
URS00009A6DDE_10116:rRNA:Rattus_norvegicus	NA	0	0	5	0	4	0	0	3	2	0	0	1	2	1	13	1	0	0	1	0
URS00009A9134_10116:rRNA:Rattus_norvegicus	NA	1	0	0	1	0	1	1	1	0	5	3	0	0	0	0	0	0	2	1	0
URS00009AB5C8_10116:rRNA:Rattus_norvegicus	NA	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
URS00009ABAD4_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	6	0	0	1	0	2	4	1	3	1	2	0
URS00009DF75C_10116:rRNA:Rattus_norvegicus	16S-rRNA	94804	83337	63505	38539	130438	34838	132435	27714	10867	61946	44033	63372	159969	23444	71862	14395	53127	220102	67160	26519
URS0000A01149_10116:rRNA:Rattus_norvegicus	12S-rRNA	1064	711	1867	648	1526	622	1875	775	66	715	522	971	874	586	676	282	1296	2280	612	492
URS0000A2CCB3_10116:rRNA:Rattus_norvegicus	12S-rRNA	1093	780	1819	621	1514	593	1817	731	63	660	493	973	838	558	680	266	1266	2247	574	454
URS0000A77880_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
URS0000A7C552_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	2	5	7	2	0	3	0	0	3	5	12	1	22	20	7	9	6	8	22
URS0000A7DDD5_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	1	2	1	2	0	5	1	0	0	0	5	1	4	7	0	2	2	3	3
URS0000A83B84_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1
URS0000A85BB5_10116:rRNA:Rattus_norvegicus	5S-rRNA	14	25	26	20	46	9	10	17	0	19	11	43	45	73	115	32	32	64	39	47
URS0000A87AE8_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0
URS0000A8F16E_10116:rRNA:Rattus_norvegicus	8S-rRNA	19	27	48	13	37	15	21	32	1	20	10	64	21	63	117	31	60	75	71	44
URS0000A9646C_10116:rRNA:Rattus_norvegicus	5S-rRNA	4	0	2	2	2	4	2	0	10	0	0	32	4	16	26	4	14	0	2	2
URS0000A9702A_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	2	1	1	1	0	0	1	0	0	1	8	2	2	4	1	2	1	3	1
URS0000A9CE04_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	6	0	0	2	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0
URS0000AA585F_10116:rRNA:Rattus_norvegicus	5S-rRNA	29	46	149	38	108	45	18	41	2	38	36	158	25	228	301	92	135	132	134	96
URS0000AA8500_10116:rRNA:Rattus_norvegicus	8S-rRNA	3	6	6	3	2	3	2	1	0	1	3	14	1	10	12	3	11	8	14	4
URS0000AA96E9_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	4	4	0	2	0	4	5	0	2	0	3	12	0	8	2	4	5	5	6
URS0000AAC4EF_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	0	4	3	2	0	8	0	0	0	5	2	0	7	0	0	0	6	11	0
URS0000AAD5EB_10116:rRNA:Rattus_norvegicus	5S-rRNA	5	0	2	5	8	2	3	10	0	4	3	6	28	5	14	7	4	22	9	6
URS0000AB0618_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	0	0	0	0	0	0	0	0	0	0	5	0	2	6	0	0	0	0	0
URS0000C0A8F1_10116:rRNA:Rattus_norvegicus	NA	43	38	132	23	57	20	33	70	61	43	21	110	57	172	233	54	79	133	114	117
URS0000C11264_10116:rRNA:Rattus_norvegicus	NA	66	42	103	26	89	59	61	126	15	37	23	110	134	116	283	87	146	150	205	79
URS0000C2BBCE_10116:rRNA:Rattus_norvegicus	NA	1	1	15	0	4	1	4	1	1	3	0	4	2	6	15	2	3	1	1	2
URS0000C2DE96_10116:rRNA:Rattus_norvegicus	NA	55	54	171	40	76	32	31	118	28	40	31	217	74	202	493	123	175	220	260	162
URS0000C36AD3_10116:rRNA:Rattus_norvegicus	NA	21	0	0	0	0	0	0	0	58	2	0	4	0	0	2	0	2	0	0	0
URS0000C3C9A2_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0
URS0000C40E67_10116:rRNA:Rattus_norvegicus	NA	3	0	9	1	2	0	0	2	1	1	0	2	0	2	8	3	3	2	3	4
URS0000C4AE5E_10116:rRNA:Rattus_norvegicus	NA	1	0	1	1	0	1	1	1	0	5	3	0	0	0	0	0	0	2	1	0
URS0000C4B054_10116:rRNA:Rattus_norvegicus	NA	49	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	2	0
URS0000C5882C_10116:rRNA:Rattus_norvegicus	NA	83	25	95	28	60	33	103	126	14	39	26	121	117	158	354	101	114	142	214	96
URS0000C7E96E_10116:rRNA:Rattus_norvegicus	NA	1	1	2	0	0	0	0	3	1	1	0	3	2	1	9	1	4	0	0	2
URS0000C856B8_10116:rRNA:Rattus_norvegicus	NA	33	48	98	30	39	22	9	38	447	25	13	68	26	56	128	31	57	42	28	34
URS0000CCF2F4_10116:rRNA:Rattus_norvegicus	NA	3	1	4	0	0	0	0	7	0	0	1	3	1	0	0	0	1	7	0	2
URS0000CCF48A_10116:rRNA:Rattus_norvegicus	28S-rRNA	10100	5779	18421	4764	15301	7492	14214	24253	4357	7431	4307	22853	27928	41262	62408	19694	19497	34867	32605	24152
URS0000CCF7C7_10116:rRNA:Rattus_norvegicus	NA	14486	7971	24775	6961	22423	12251	22929	33664	5942	10641	6109	31656	43246	56687	84400	28972	27088	54340	45174	39891
URS0000CCFE84_10116:rRNA:Rattus_norvegicus	NA	2	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	2	2	0	2
URS0000DD1D09_10116:rRNA:Rattus_norvegicus	NA	160	141	311	115	254	82	251	128	10	157	74	158	98	74	85	35	232	286	96	105
URS0000DD845D_10116:rRNA:Rattus_norvegicus	16S-rRNA	48	63	83	33	52	21	101	13	0	25	24	52	20	21	36	14	57	71	18	18
URS0000E15298_10116:rRNA:Rattus_norvegicus	16S-rRNA	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2
URS00019F9DE3_10116:rRNA:Rattus_norvegicus	16S-rRNA	2	1	5	1	1	2	1	1	0	1	1	2	1	1	1	1	3	1	1	0
URS0001AE1A02_10116:rRNA:Rattus_norvegicus	NA	1	2	0	0	0	0	0	0	3	0	0	0	0	2	1	0	0	2	3	0
URS0001B0949E_10116:rRNA:Rattus_norvegicus	NA	9	0	6	2	1	1	4	14	0	2	5	13	9	113	201	61	9	15	21	32
URS0001B16616_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	0	1	0	0	2	0	13	2	1	0	0	0	0
URS0001B4B318_10116:rRNA:Rattus_norvegicus	NA	14	54	143	1	80	17	8	216	99	5	5	505	79	866	509	176	140	208	165	112
URS0001BCA414_10116:rRNA:Rattus_norvegicus	NA	758	640	1292	375	1004	621	1394	1039	292	582	310	1755	1286	3869	3749	1235	1257	2653	2615	1828
URS0001BCA45B_10116:rRNA:Rattus_norvegicus	NA	315	274	481	170	400	118	452	151	11	202	113	260	118	107	162	54	340	484	134	125
URS0001BCA572_10116:rRNA:Rattus_norvegicus	NA	1242	1662	1907	1227	1943	924	1536	1267	118	903	957	4831	1890	3987	4521	1629	2853	3493	2953	2144
URS0002123178_10116:rRNA:Rattus_norvegicus	28S-rRNA	11428	6801	20943	5442	17855	8390	16123	28531	4804	8291	5032	26711	34330	48359	78053	23467	22606	44145	38719	28640
URS0002130150_10116:rRNA:Rattus_norvegicus	NA	5374	3673	12662	2932	9397	3755	6946	15262	2955	4067	2733	15534	17963	30709	47028	12927	12160	26154	22423	15933
URS000223C24D_10116:rRNA:Rattus_norvegicus	16S-rRNA	17042	11485	26469	10819	23934	11146	34628	7424	951	11183	9847	21287	10464	11593	12406	5467	21246	43047	14274	8513
URS0002278BC8_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	494	185	554	122	11	234	168	377	60	194	181	80	504	591	187	168
URS0002287507_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	168	377	62	194	181	80	504	591	187	168
URS000228796A_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	168	377	60	194	181	80	504	591	187	168
URS000228A1BB_10116:rRNA:Rattus_norvegicus	NA	267	316	608	193	493	185	554	122	11	234	168	377	62	194	181	80	504	591	187	168
URS00022925B6_10116:rRNA:Rattus_norvegicus	NA	268	316	604	196	494	187	555	122	11	234	170	377	61	194	181	81	505	591	187	168
URS0002294733_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	168	377	60	194	181	80	504	591	187	168
URS0002297ABB_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	168	377	60	194	181	80	504	591	187	168
URS00022994C8_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	168	377	60	194	181	80	504	591	187	168
URS00022A17B0_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	168	377	60	194	181	80	504	591	187	168
URS00002C8A7A_10116:rRNA:Rattus_norvegicus	NA	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
URS0000624052_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	1	0	0	0	1	0	0	0	0	1	0	1	3	0	1	0	0	0
URS0000624D2F_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
URS00006807E5_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	3	0	3
URS0000681A1A_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	0	0	0	0	7	0	0	2	2	6	0	5	5	7	5	0	1	0
URS000068F315_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	3	5	0	2	6	0	6	0	5	3	22	9	10	6	2	2	10	12	14
URS000069430C_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	2	0	0	0	0	0	0	2	0	6	2	0	0	0	0	0
URS00006E151D_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
URS00006F66E4_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	0	0	0	0	0	0	0	2	4	0	2	0	0	2	0	0
URS000071A993_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	8	3	2	3	5	4	0	0	5	0	36	0	19	15	7	10	12	3	17
URS0000904CD8_10116:rRNA:Rattus_norvegicus	NA	0	1	5	0	3	2	0	3	0	0	0	7	2	6	1	4	3	2	5	11
URS0000926ECF_10116:rRNA:Rattus_norvegicus	NA	0	0	1	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0
URS0000999CE1_10116:rRNA:Rattus_norvegicus	NA	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A7EBD1_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
URS0000A801E0_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	0	0	0	0	0	0	0	0	0	2	0	4	4	0	2	0	0	0
URS0000A8FEE8_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	1	0	0	0	1	0	0	0	0	1	0	1	3	0	3	0	0	0
URS0000A91AD7_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	4	0	2	3	4	6	2	0	3	5	4	4	7	4	8	21	11	0
URS0000AA3C3F_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	0	0	0	0	0	0	0	9	0	2	0	0	2	6	0	0
URS0000AACD61_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	1	0	0	0	0	0	0	4	0	2	3	4	0	3	1	2
URS0000C19245_10116:rRNA:Rattus_norvegicus	NA	0	1	8	0	1	1	0	1	2	0	0	2	0	1	6	1	1	1	0	4
URS000063428F_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	3	1	0	0	0	0	0	0	2	2	4	2	3	0	3	0	2	9
URS000063F0BB_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	2	2	3	0	2	2	0	0	3	8	0	5	6	0	0	8	2	0
URS000066171A_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000067CBAA_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
URS000070E4C0_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
URS0000944818_10116:rRNA:Rattus_norvegicus	NA	0	0	4	0	0	1	0	1	0	0	0	2	0	1	2	1	1	2	2	2
URS000097C230_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
URS00009A3A4F_10116:rRNA:Rattus_norvegicus	NA	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0
URS0000A8379E_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A8FF34_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0
URS0000A91A3E_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A95F18_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A9F2FE_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
URS0000C5C73F_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	1	0	1	0	0	2	0	2	1	1	0	0	5	0	7	4	0	0
URS0000624939_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	1
URS000062A825_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000653B83_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	1	0	1	1	0	1	0	1	0	1	0	1	2	0	1	0	2	2
URS000065DC7C_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	4	0	1
URS0000678EB8_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000681B77_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	2	2	2	0	0	0	0	3	0	23	2	14	3	3	7	15	5	6
URS0000696584_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000069BC95_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1
URS000069D1DB_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006AD00B_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0
URS00006B6765_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1
URS00006BD4AB_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
URS00006C256D_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
URS00006E1346_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
URS00006ED305_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	2	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	2	0
URS0000706CA2_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	7	0	0	0	2	0	0	0	0	18	0	2	5	3	2	8	5	0
URS000070C9A9_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2
URS0000715956_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	2	36	0	0	5	2	0	2	0	0	5	0	1
URS000071E304_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1
URS0000925652_10116:rRNA:Rattus_norvegicus	NA	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
URS0000945F96_10116:rRNA:Rattus_norvegicus	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000096AFD3_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000096F134_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000098E2E1_10116:rRNA:Rattus_norvegicus	NA	0	0	5	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
URS0000A84965_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
URS0000A88543_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	8	0	2
URS0000A8E573_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A914DF_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	3	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1
URS0000A982BA_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1
URS0000A9D5F4_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA58C4_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
URS0000AA9C46_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	1	0	0	0	0	2	0	0	0	8	1	1	4	1	3	1	4	0
URS0000AABD2B_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
URS0000AAD956_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	1
URS0000BA7C32_10116:rRNA:Rattus_norvegicus	12S-rRNA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
URS0000C71B19_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000627DC5_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000643BB9_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
URS0000695688_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
URS000069C4F1_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	1	0
URS00006A00A5_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
