Sequence	Annotation	Library_01	Library_02	Library_09	Library_10	Library_17	Library_18	Library_25	Library_26	Library_33	Library_34	Library_07	Library_08	Library_15	Library_16	Library_23	Library_24	Library_31	Library_32	Library_39	Library_40
URS0000681EA5_10116:rRNA:Rattus_norvegicus	8S-rRNA	8	12	12	6	11	5	6	4	0	6	134	80	186	32	6	1	75	126	37	41
URS00006851EC_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	0	0	0	2	0	2	0	0	0	2	2	2	0	0	0	2	1	1	1
URS0000688048_10116:rRNA:Rattus_norvegicus	5S-rRNA	27	45	147	36	107	45	17	40	2	37	705	418	961	264	70	24	394	909	266	167
URS000068BAC4_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	5	0	1	1	0	2	0	1	15	11	14	5	1	1	5	9	2	0
URS000068DB7A_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	1	1	1	1	0	0	1	0	0	8	2	6	1	1	0	2	8	3	0
URS000068E002_10116:rRNA:Rattus_norvegicus	8S-rRNA	59	23	134	42	52	80	21	27	4	30	502	304	535	132	80	29	296	542	186	181
URS000068E2EB_10116:rRNA:Rattus_norvegicus	8S-rRNA	9	12	11	6	11	4	6	3	0	6	171	82	212	31	6	3	62	136	41	47
URS00006937AE_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	4	0	0	0	0	0	0	0	0	9	14	22	9	0	0	5	31	5	2
URS0000698146_10116:rRNA:Rattus_norvegicus	8S-rRNA	64	32	142	45	58	79	25	38	4	32	513	317	556	154	91	30	307	562	216	180
URS00006A2E5A_10116:rRNA:Rattus_norvegicus	5S-rRNA	4	1	0	0	2	0	3	2	0	0	3	16	20	10	1	0	35	33	8	8
URS00006A9618_10116:rRNA:Rattus_norvegicus	8S-rRNA	19	27	49	13	37	15	21	33	1	20	303	219	441	95	29	9	177	275	64	59
URS00006BEFCF_10116:rRNA:Rattus_norvegicus	5S-rRNA	7	10	106	19	71	31	2	27	1	23	371	198	446	115	42	18	203	338	87	33
URS00006C471C_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	2	5	7	4	0	7	0	0	3	2	37	53	51	4	2	61	63	11	2
URS00006C6C27_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	0	0	0	0	0	0	0	0	0	4	7	6	3	1	0	1	6	5	1
URS00006CE1FB_10116:rRNA:Rattus_norvegicus	8S-rRNA	1280	647	1874	794	2480	1737	2669	2998	393	840	56688	48805	72305	7418	7354	749	36560	49564	7048	27993
URS00006D2DB5_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	1	2	1	5	1	0	9	0	2	94	74	69	10	1	0	52	65	8	5
URS00006D6599_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
URS00006DD1E4_10116:rRNA:Rattus_norvegicus	5S-rRNA	220	398	461	244	438	187	233	212	15	176	1973	2576	4308	1317	278	81	2147	4584	913	872
URS00006E79BE_10116:rRNA:Rattus_norvegicus	8S-rRNA	2	4	8	2	2	3	1	1	0	1	28	17	27	11	2	0	12	27	14	9
URS00006E7A73_10116:rRNA:Rattus_norvegicus	5S-rRNA	43	68	175	52	140	54	46	48	3	47	764	599	1261	353	83	26	550	1246	342	229
URS00006EF96A_10116:rRNA:Rattus_norvegicus	5S-rRNA	165	297	373	183	324	145	172	139	10	130	1478	1602	2851	965	195	59	1422	2899	699	582
URS00006F129F_10116:rRNA:Rattus_norvegicus	5S-rRNA	64	99	217	77	180	78	78	73	5	60	1091	858	1719	501	122	39	779	1766	453	378
URS00006F51B2_10116:rRNA:Rattus_norvegicus	8S-rRNA	15	22	37	9	28	12	17	23	1	15	241	183	370	81	21	6	141	227	56	62
URS00006F76D3_10116:rRNA:Rattus_norvegicus	5S-rRNA	29	46	149	38	108	45	18	41	2	38	720	435	995	276	72	25	413	945	275	174
URS00007049D1_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	1	21	2	8	5	0	17	0	5	106	21	55	13	20	6	24	22	7	2
URS0000706122_10116:rRNA:Rattus_norvegicus	5S-rRNA	9	3	4	2	3	4	2	3	0	1	10	23	36	8	2	0	17	48	8	5
URS0000709ED9_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	3	3	1	1
URS000070B001_10116:rRNA:Rattus_norvegicus	5S-rRNA	7	10	106	19	71	31	2	27	1	23	371	196	446	113	42	18	201	341	87	33
URS0000713A83_10116:rRNA:Rattus_norvegicus	5S-rRNA	10	15	4	13	16	2	8	0	0	4	26	124	160	57	5	0	72	312	45	28
URS0000714871_10116:rRNA:Rattus_norvegicus	5S-rRNA	111	271	195	140	150	80	31	64	5	86	293	913	1184	637	104	31	779	1634	323	191
URS000072278E_10116:rRNA:Rattus_norvegicus	8S-rRNA	61	23	137	43	54	81	23	30	4	31	626	442	826	152	82	30	314	615	205	212
URS00007289C9_10116:rRNA:Rattus_norvegicus	8S-rRNA	5	11	9	5	5	3	3	6	0	2	113	65	125	25	16	3	58	110	29	28
URS000072D7A4_10116:rRNA:Rattus_norvegicus	5S-rRNA	28	48	148	38	116	47	18	43	2	37	826	492	1055	278	74	25	426	1055	282	183
URS000075E2C7_10116:rRNA:Rattus_norvegicus	NA	12626	7731	22206	6180	19570	10758	19239	29713	5343	9665	692996	283188	571783	90508	87640	7996	255809	520324	113373	179184
URS00007C4790_10116:rRNA:Rattus_norvegicus	12S-rRNA	917	641	1606	544	1498	637	1652	649	60	566	114	248	456	573	39	11	305	178	127	182
URS00007CBB77_10116:rRNA:Rattus_norvegicus	16S-rRNA	12151	8258	20921	6401	17287	7128	27167	5769	673	7216	1708	3879	7152	8032	374	122	4028	2324	2093	2571
URS00007CD0E6_10116:rRNA:Rattus_norvegicus	12S-rRNA	193	126	383	113	275	105	337	98	8	137	23	47	82	114	3	1	61	27	26	31
URS00007D4C97_10116:rRNA:Rattus_norvegicus	16S-rRNA	11882	8145	20448	6280	16962	7032	26759	5666	662	7092	1681	3798	7027	7890	369	120	3932	2290	2062	2546
URS00007D6E2A_10116:rRNA:Rattus_norvegicus	12S-rRNA	1060	2263	2134	774	7374	2153	2233	696	177	716	245	499	663	1042	58	12	329	995	175	492
URS00007DD4C2_10116:rRNA:Rattus_norvegicus	16S-rRNA	22038	16767	30431	13141	28925	11719	46131	8595	1205	14294	2728	5872	11218	13172	645	198	6768	3341	3996	6512
URS00007E6FB4_10116:rRNA:Rattus_norvegicus	12S-rRNA	1060	2255	2126	774	7356	2150	2228	697	177	716	245	499	662	1040	58	12	329	993	175	491
URS00007EFDFE_10116:rRNA:Rattus_norvegicus	12S-rRNA	874	585	1504	537	1255	522	1538	678	58	581	107	226	407	527	36	12	279	126	126	169
URS00007F72B6_10116:rRNA:Rattus_norvegicus	12S-rRNA	447	1946	1030	395	6406	1695	976	196	130	352	152	291	276	602	24	2	89	877	88	331
URS000080C7DD_10116:rRNA:Rattus_norvegicus	12S-rRNA	1062	710	1860	648	1525	622	1875	774	66	714	128	273	488	638	39	13	338	153	152	201
URS0000826BF9_10116:rRNA:Rattus_norvegicus	12S-rRNA	989	685	1726	600	1439	574	1750	731	63	640	120	256	460	586	38	13	310	145	143	193
URS00008C43AE_10116:rRNA:Rattus_norvegicus	NA	9	0	6	2	1	1	4	14	0	2	159	394	528	715	35	25	503	1279	194	47
URS00008C4515_10116:rRNA:Rattus_norvegicus	NA	7	5	7	3	19	5	28	11	1	5	147	63	118	19	8	1	52	67	15	42
URS00008C45F1_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	3	50	11	20	31	1	1	23	27	10	2
URS00008C47B3_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	3	0	0	41	56	54	37	0	1	13	83	52	40
URS00008C529B_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	35	6	16	27	1	1	21	17	5	1
URS00008C52DA_10116:rRNA:Rattus_norvegicus	NA	9	0	6	2	1	1	4	14	0	2	157	394	528	715	35	25	503	1279	194	47
URS00008C5677_10116:rRNA:Rattus_norvegicus	NA	2	1	3	0	3	1	0	1	0	0	48	5	11	3	0	0	5	22	4	6
URS00008C59CC_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	43	9	20	29	1	1	22	22	9	2
URS00008C5C0D_10116:rRNA:Rattus_norvegicus	NA	9	1	8	1	2	1	5	15	1	2	187	401	534	718	36	26	510	1285	188	46
URS00008C6042_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	27	9	20	29	1	1	22	22	9	2
URS00008C6232_10116:rRNA:Rattus_norvegicus	NA	423	525	871	239	647	239	589	823	216	311	23150	11406	24706	6571	1835	251	11835	27455	8074	6721
URS00008C6266_10116:rRNA:Rattus_norvegicus	NA	8	1	10	0	4	4	0	7	0	3	321	44	120	9	3	1	18	117	4	48
URS00008C644C_10116:rRNA:Rattus_norvegicus	NA	9	14	38	4	26	3	12	36	12	4	2617	2249	4373	1574	151	44	3202	7347	2195	1175
URS00008C6A58_10116:rRNA:Rattus_norvegicus	NA	233	288	448	119	283	108	203	425	151	125	10203	5529	12657	3671	1112	101	5960	15370	5001	3313
URS00008C723E_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	37	8	15	28	1	1	23	19	5	1
URS00008C7868_10116:rRNA:Rattus_norvegicus	NA	435	530	892	243	676	245	621	859	220	320	24026	11571	25076	6612	1894	258	12004	27723	8115	6840
URS00008C78CD_10116:rRNA:Rattus_norvegicus	NA	32	18	45	12	42	15	31	81	7	17	1361	303	647	102	151	17	341	643	121	203
URS00008C7CF0_10116:rRNA:Rattus_norvegicus	NA	338	464	753	205	555	192	439	701	210	298	21273	9934	22175	5695	1596	200	9923	24210	7412	6248
URS00008C7F7F_10116:rRNA:Rattus_norvegicus	NA	32	18	45	12	42	15	31	81	7	17	1361	303	647	102	151	17	341	643	121	203
URS00008C8501_10116:rRNA:Rattus_norvegicus	NA	5	9	7	3	17	5	14	18	1	4	38	45	54	15	17	0	28	67	10	19
URS00008C8B6E_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	27	9	19	29	1	1	22	22	9	3
URS00008C9565_10116:rRNA:Rattus_norvegicus	NA	7	5	7	3	19	5	25	11	1	5	94	55	89	19	8	1	46	68	16	34
URS00008C96FC_10116:rRNA:Rattus_norvegicus	NA	2	0	2	0	0	0	0	1	0	0	28	7	9	2	1	0	2	14	1	2
URS00008CA36B_10116:rRNA:Rattus_norvegicus	NA	640	520	2114	365	1045	548	882	1805	576	642	56292	15643	32261	7780	3808	475	12972	30042	8477	7817
URS00008CA49B_10116:rRNA:Rattus_norvegicus	NA	424	522	877	241	652	242	607	825	217	310	22943	11362	24657	6558	1779	250	11748	27124	8036	6670
URS00008CAA77_10116:rRNA:Rattus_norvegicus	NA	1013	774	3277	577	1545	691	1038	3003	749	999	114727	34968	79744	13561	11987	1166	35584	84843	18545	21271
URS00008CAD43_10116:rRNA:Rattus_norvegicus	NA	2	1	5	0	3	3	0	4	10	0	179	35	86	3	3	1	14	103	7	31
URS00008CB01C_10116:rRNA:Rattus_norvegicus	NA	589	527	1945	337	972	515	801	1540	543	563	51355	14873	29975	7062	3165	417	11835	27213	6948	6882
URS00008CB13B_10116:rRNA:Rattus_norvegicus	NA	9	0	6	2	1	1	4	14	0	2	158	394	528	715	35	25	503	1279	194	47
URS00008CB4B4_10116:rRNA:Rattus_norvegicus	NA	2	7	3	1	2	1	0	2	76	0	101	131	262	112	6	4	135	493	207	85
URS00008CB5BD_10116:rRNA:Rattus_norvegicus	NA	328	312	712	172	503	188	519	705	187	257	20874	10029	21988	5592	1506	223	10228	24339	6947	5961
URS00008CB810_10116:rRNA:Rattus_norvegicus	NA	418	520	880	237	650	245	609	843	216	320	23505	11403	24777	6558	1791	256	11772	27110	8078	6720
URS00008CBA26_10116:rRNA:Rattus_norvegicus	NA	0	1	8	0	3	3	2	3	0	0	253	39	109	2	5	0	8	111	5	38
URS00008CBDB7_10116:rRNA:Rattus_norvegicus	NA	609	540	2186	399	1018	510	826	1755	612	650	57482	15759	32511	7940	3473	451	12679	29033	8300	7834
URS00008CC199_10116:rRNA:Rattus_norvegicus	NA	664	598	2355	413	1141	586	924	1910	523	702	68074	19303	39962	8946	4634	550	15376	36972	10145	10037
URS00008CC51F_10116:rRNA:Rattus_norvegicus	NA	614	509	2018	347	1002	523	840	1704	558	596	52576	14956	30671	7461	3378	425	11915	28420	7934	7137
URS00008CC58A_10116:rRNA:Rattus_norvegicus	NA	413	505	843	227	612	230	558	827	208	289	22327	11045	23840	6392	1854	250	11609	26944	7956	6459
URS00008CD1C6_10116:rRNA:Rattus_norvegicus	NA	7	5	8	3	20	5	28	13	1	5	179	67	130	23	10	1	59	77	21	46
URS00008CD9AE_10116:rRNA:Rattus_norvegicus	NA	551	534	2039	339	937	479	640	1459	573	576	50132	13794	27716	6684	2730	392	10538	26373	6615	6551
URS00008CE58F_10116:rRNA:Rattus_norvegicus	NA	6	5	8	3	18	5	16	17	2	6	177	64	109	33	28	5	75	98	53	50
URS00008CE808_10116:rRNA:Rattus_norvegicus	NA	2	2	5	2	2	1	2	7	4	2	156	47	108	22	1	2	23	106	37	33
URS00008CF116_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	36	15	28	39	1	1	22	79	16	3
URS00008CF47F_10116:rRNA:Rattus_norvegicus	NA	357	469	779	217	577	202	485	727	214	294	21393	9985	22322	5729	1664	209	10046	24376	7465	6230
URS00008CF9CF_10116:rRNA:Rattus_norvegicus	NA	5	5	8	3	17	5	14	11	1	4	60	44	62	18	10	1	34	59	16	24
URS00008CFDE4_10116:rRNA:Rattus_norvegicus	NA	377	490	778	215	561	210	486	727	212	266	21063	10715	23233	6205	1704	234	11164	26031	7596	6233
URS00008D0477_10116:rRNA:Rattus_norvegicus	NA	7	5	8	3	20	5	28	13	1	5	179	67	130	23	10	1	59	77	21	46
