Sequence	Annotation	Library_01	Library_02	Library_09	Library_10	Library_17	Library_18	Library_25	Library_26	Library_33	Library_34	Library_05	Library_06	Library_13	Library_14	Library_21	Library_22	Library_29	Library_30	Library_38
URS00007D6E2A_10116:rRNA:Rattus_norvegicus	12S-rRNA	1060	2263	2134	774	7374	2153	2233	696	177	716	351	811	2780	738	1546	607	3760	2302	131
URS00007DD4C2_10116:rRNA:Rattus_norvegicus	16S-rRNA	22038	16767	30431	13141	28925	11719	46131	8595	1205	14294	8176	6031	28606	7334	21683	7598	25471	17681	2296
URS00007E6FB4_10116:rRNA:Rattus_norvegicus	12S-rRNA	1060	2255	2126	774	7356	2150	2228	697	177	716	350	809	2778	737	1543	607	3742	2298	131
URS00007EFDFE_10116:rRNA:Rattus_norvegicus	12S-rRNA	874	585	1504	537	1255	522	1538	678	58	581	293	625	691	261	776	333	972	612	122
URS00007F72B6_10116:rRNA:Rattus_norvegicus	12S-rRNA	447	1946	1030	395	6406	1695	976	196	130	352	114	194	2062	521	948	302	2967	1776	15
URS000080C7DD_10116:rRNA:Rattus_norvegicus	12S-rRNA	1062	710	1860	648	1525	622	1875	774	66	714	353	664	851	322	939	420	1209	752	132
URS0000826BF9_10116:rRNA:Rattus_norvegicus	12S-rRNA	989	685	1726	600	1439	574	1750	731	63	640	330	655	799	298	875	371	1145	709	130
URS00008C43AE_10116:rRNA:Rattus_norvegicus	NA	9	0	6	2	1	1	4	14	0	2	557	1	1	1375	160	352	391	17	523
URS00008C4515_10116:rRNA:Rattus_norvegicus	NA	7	5	7	3	19	5	28	11	1	5	26	32	8	42	46	119	70	20	295
URS00008C45F1_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	3	9	3	0	72	7	51	14	1	15
URS00008C47B3_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	3	0	0	37	1	0	74	14	36	15	7	83
URS00008C529B_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	10	5	0	60	5	70	11	1	11
URS00008C52DA_10116:rRNA:Rattus_norvegicus	NA	9	0	6	2	1	1	4	14	0	2	557	1	1	1375	160	352	391	17	523
URS00008C5677_10116:rRNA:Rattus_norvegicus	NA	2	1	3	0	3	1	0	1	0	0	5	3	0	16	2	30	11	1	14
URS00008C59CC_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	11	0	0	66	5	50	15	1	12
URS00008C5C0D_10116:rRNA:Rattus_norvegicus	NA	9	1	8	1	2	1	5	15	1	2	558	4	1	1384	162	392	412	18	531
URS00008C6042_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	11	0	0	66	5	44	13	1	11
URS00008C6232_10116:rRNA:Rattus_norvegicus	NA	423	525	871	239	647	239	589	823	216	311	7500	838	287	15961	3669	23935	6795	2094	32143
URS00008C6266_10116:rRNA:Rattus_norvegicus	NA	8	1	10	0	4	4	0	7	0	3	5	10	1	81	11	360	84	10	247
URS00008C644C_10116:rRNA:Rattus_norvegicus	NA	9	14	38	4	26	3	12	36	12	4	1166	9	15	2750	564	2944	1231	318	3471
URS00008C6A58_10116:rRNA:Rattus_norvegicus	NA	233	288	448	119	283	108	203	425	151	125	4405	500	115	8417	1627	11659	3108	954	17986
URS00008C723E_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	13	0	0	71	5	64	15	1	14
URS00008C7868_10116:rRNA:Rattus_norvegicus	NA	435	530	892	243	676	245	621	859	220	320	7543	987	297	16066	3743	25072	6958	2130	33183
URS00008C78CD_10116:rRNA:Rattus_norvegicus	NA	32	18	45	12	42	15	31	81	7	17	104	204	13	263	130	1662	266	70	2059
