genes
Ppp4r3a
Mal2
Nudcd1
Arvcf
Stag2
Dlc1
Kif16b
Ppp1cc
Elk4
Capza1
Dyrk3
March6
Snx18
Gldc
Pkia
Slc4a4
Auh
Tfip11
Ccne1
Ssr1
Rtkn
Trpm7
Utp11
Chd5
Itgal
Pald1
Gcs1
Ctsm
Pdk1
Ndst2
Acss3
Sptbn2
Agtrap
Aco1
Rad23a
Slco4a1
Afap1l2
Sdc1
Isca2
Angpt2
Btrc
Ctsl
Fbxo30
RGD1560958
RGD1304694
Reep3
Dlgap1
Stim2
Tcerg1
Zkscan7
Stat3
Papolg
Islr
Adgrl2
Ttc7b
Grem2
Cnot9
Xpo5
Arl2
Gal3st3
RGD1561958
Ptp4a2
Gpm6b
Cep55
Axin2
Sulf1
Kdelr2
Scoc
Jph3
Wasf1
Wars
Smad3
Pcdh19
Herc3
Sall1
Xkr8
Cdkn1b
Ano4
Snx8
Grin2a
Flrt3
Blzf1
Abcg5
Tfdp1
Gucy2c
Cbr4
Ankrd40
Unc13c
Mip
RGD1562136
Ulk2
Me1
Zfp292
Pcdh9
Mau2
Wbp4
Tada2b
Sos1
Abhd6
Klf10
Sbno1
Larp4b
Cacna1c
Acot7
C1qtnf3
Hmgb3
Mapk6
Zc3h7a
Grb10
Myadm
Ap3s1
Cbx2
Prpf38b
Rims1
Gadd45a
Slc46a2
Mycbp
Taf9b
Arhgef37
Anks1b
Pip
Ralgapb
Ddx52
Zswim7
Rfc1
Foxj3
Esrp1
Cd2bp2
Tox4
Reep1
Slc38a2
Spta1
Stat2
Zfp532
Hltf
Celf3
LOC301165
Homer1
Pdia5
LOC292543
Epb41l3
Gnb3
Hip1r
Ikzf5
Bnc2
Tmem178a
Klf3
Vav2
Npepl1
Meox2
Arhgap21
Ucp3
Zfp608
Pcsk1
Atp11a
Pdcd10
Man2a2
Klhl20
Pde8b
Mob4
Snx33
Clock
Nav2
Exoc2
Jun
Them6
Baalc
Smarca5
Hmg20a
Rpgrip1l
Dr1
Gria2
H1f0
Mad2l1bp
Fat3
Slc25a27
Radx
Has2
Cxcl10
Kxd1
Matn3
Cdc42bpg
Chst10
Glud1
Fam83h
Poll
Mpzl2
Lox
Them4
Capza2
Hip1
Exo5
Gga2
Atp6v1a
Plpp6
Cdk16
Frs3
Rasef
Prdm1
Igsf8
Rab11a
RGD1308147
Gpc5
Agmo
Clec4a1
Plau
Dpy19l1
Edn1
Ywhah
Cep95
Bdnf
Arid3b
Wipi2
Pik3c2a
Rpe65
Tmem79
Med4
Qrich1
Adcyap1r1
Brd3
Rsbn1l
Insr
Zfp143
Olfml2a
Cdk17
Chsy1
Ppif
Akap11
Inhbb
Selenot
Grm7
Robo2
Kcnq5
Csnk1g3
Exoc3l4
Dll1
Utp23
Aqp11
Tubb5
Tmem115
Astn1
Il21r
Gjb4
Rnf139
Dennd5a
Neurl4
Ntng1
Nup50
Eml4
Lamc1
Zfp36l2
Armt1
Grid2ip
Dusp7
Adcy5
Gab1
Igf1r
Ncald
Tgfa
Kcns3
Npepps
Hao2
Ttyh3
Cks1b
Slitrk1
Fbxo8
Twf1
Elavl2
Crebrf
Fosb
Cnrip1
Nol8
Col4a3bp
Dmrt3
Pcmtd1
Phf20
Clasp2
Acads
Stim1
Irx4
Tfpi2
Slc22a20
Olig3
Osbpl8
Atp6v1c1
Mdm4
Pacs1
Atg16l1
Ptpn4
Tp53inp2
Cnep1r1
Nsun6
Fut4
Rheb
Rb1cc1
Sft2d1
Stard13
Osbpl9
Appbp2
Pdxp
Gas2
Ebpl
Adrb3
Swt1
Pip4p2
Rab38
Pum3
Desi2
Idh1
Ddi2
Peli3
Hadha
Diaph3
Stk40
Med1
Dock11
Aida
Fry
Tlk1
Sec61a1
Capn7
Map7d1
Ash1l
Srd5a1
Fam91a1
Bnc1
Shroom2
Abhd13
Hyal4
Agap1
Sacm1l
Zc3h6
Virma
Grsf1
Usp45
Slc34a2
Slitrk6
Cox18
Gsta3
Sesn3
Cercam
Camta1
Ptprf
Myl12a
Bicdl1
Leng8
Ptprj
Tmem135
Sos2
Mdfi
Syk
Arhgap12
Tyk2
Ralbp1
B4galt6
Rbak
Ptpn1
Grid2
Wsb1
Cbfb
Ep400
Lrrc40
Gatm
Tmed5
Scyl3
Snx16
Itga11
Tspan12
Relch
Zdhhc16
Ngrn
Ndrg1
Pparg
Sema3f
Zbtb6
Mboat7
Borcs6
B4galt4
Wnt3a
Tmem177
RGD1561149
Ppm1d
Foxa2
Pla2g3
Rnf38
Col13a1
Per2
LOC100911664
Dvl1
Tfcp2l1
Abca1
Dcx
Nup160
Zmym4
Sfr1
Sgcb
Il16
Lhx8
Mex3c
Tmeff2
Colq
Rnd3
Ppp1r12a
Ptprcap
Smc5
RGD1566386
Nuak2
Tril
Uhrf1bp1l
Zbtb39
Marveld2
Cars
Lpar3
Tmem181
Vps4b
Shkbp1
Mrc1
Bak1
Ipo7
Tnfrsf26
Zfp458
Cpne8
Zbtb46
Ngf
Rgs8
Nudt4
Tfap2a
Slc25a25
Ube2d3
Snap47
Arrb2
Tgoln2
Syde2
Asah2
Kitlg
Git2
Ugcg
Gata2
Myt1l
Il6r
Tnfrsf11b
Mmd2
MGC95208
Celsr3
Ranbp6
Ppp6r1
Nphp3
Rab9b
Ccdc32
H2afz
Lpar2
Ppid
Col2a1
Ddah1
Vegfa
Cep76
Kcnj6
Olr1
Fasn
Dock7
Cdh11
Dhx15
Prkcz
Pnoc
Dgkz
Ddit4
B3galt1
Smim3
Ehhadh
Eva1a
Uba6
Esrrg
Tm9sf2
Canx
Fam53a
Asah1
Rap1a
Nacc2
Ythdf3
LOC688765
Diaph1
Coro6
Prkcg
Rarg
Opalin
Vcsa2
Cntn4
Golga7
Pard6b
Stat5b
Tnpo1
Chrna5
Ywhag
Ube2a
Otx1
Taf5
Gabpa
Gata6
Tmem175
Prickle2
Rnps1
Ncs1
Lrp1
Rab33b
Rbfox1
Bdkrb2
Irgq
Hgh1
Acly
Paip1
Becn1
Bet1l
Eif1ad
Nupl2
Lpar6
Map2k6
Smim15
Abracl
Nbr1
C4a
Dcp2
Mmachc
Vat1
Kcnj3
Epm2aip1
Fam122a
Styxl1
Hook1
Spink13
Epha2
Zfp512b
C4b
Mylip
Stx5
Memo1
Ggnbp2
Lipi
Med8
Stip1
Phf3
Senp6
Zcchc24
RGD1560065
Myh2
Cab39
Ndfip2
Yipf1
Afap1l1
Rnf138
Cyp26b1
Eya3
Pxdn
Ipmk
Acsbg1
Trmt9b
Lpar1
Zadh2
Stam
Rbm24
LOC497899
Adamts10
Cpsf4
Dnase2b
Rbm20
Kbtbd8
En2
Kmt5b
Abraxas1
Lrrc28
Ubn1
Slc12a2
Gls
Impact
Car2
Slc30a4
Brd1
Uqcrfs1
Wipf1
Slc35d2
Ythdf2
Zfp282
Serinc1
Syvn1
Slc2a12
Foxp4
Cln6
Tasp1
Dpp3
Zfhx4
Cldn11
Sec61a2
Rsad2
Clk2
Ccnk
Itga8
Sft2d2
Khdrbs1
Rrp7a
Ppp1r15b
Vip
Tmem168
Nrm
Optn
Tyrp1
RGD1308428
Ing2
Unc119b
Grin2d
Ugt2b7
Zfp709l1
Scn3a
Zfp362
Gxylt1
Ccdc77
Armc1
Mink1
Tyw5
S100a3
Mmgt2
Fam210a
Csf1
Vcan
Gabra5
Cmtm7
Lats1
Chn1
Ajuba
Nfya
Plppr4
Kcnk5
Gtpbp2
Arf4
Adam19
Ube2v1
Abhd17b
Pde7a
Pik3ca
Vkorc1l1
Asic2
Eloc
Edrf1
Itfg1
Usp33
Wnt9b
Wnt9a
Chrdl1
Melk
Mospd2
Smurf1
Cds1
Nptn
Myct1
Tmem65
Zfp287
Prtg
Cdca4
Larp6
Tspan5
Fam168a
Slc24a2
Lrguk
Mcf2l
Pea15
Soat2
Ppp1r18
B3gnt7
Rfx5
Ifnar1
Vtcn1
Igsf3
Eed
Spag7
Masp1
Itga5
C2cd5
Ppfia1
Cyp2j3
Pkdcc
Gnai1
Sgk1
Slc19a2
Smarcad1
Terb2
Ddx3x
Ncan
Rab21
Slc12a9
Patl1
Slc35d3
Vps13a
Arpc5
P2rx4
Entpd5
Calml3
Sntg2
Edn2
Prkx
Spryd7
Kcnk10
LOC100125362
Nfxl1
Fam117b
Kiaa0408L
Kif5c
Tram1l1
Stag1
Lrif1
Slain2
Cav2
Akap12
Ccl28
Nrn1
Mmgt1
Klf12
Tsc22d2
Ttc14
Slc7a11
Alcam
Matr3
Rras
Pou3f2
Svop
Stx17
Wnt7a
Pitx2
Rph3al
Ets1
Csn2
Zc2hc1a
Slc35a4
Mnx1
Sim1
Pnrc1
Mical1
Brsk1
Lrrc55
Mgat2
Kctd8
Myo9b
Cdk8
Helz2
Rap1gap2
St14
Actc1
Cul3
Lrfn2
Gskip
Map2k1
Etaa1
Snap91
Spop
Tgfbr3
Atpaf1
Nod2
Spock1
Neurod1
Ttpa
Tnrc6b
Siah1
S1pr1
Ppt2
Arhgap1
Slc18a2
Errfi1
Appl2
Ing3
Plcxd2
Idh2
Chst1
Plcl2
Etf1
Clcn3
Zmat4
Rnf168
Chchd3
Slc6a17
Lhfpl2
Scn1a
Tceanc2
Plaa
Zfp523
Mgarp
Hnf1b
Fam193b
Lhfpl6
LOC100125364
Adamts9
Rhoq
Nhlh2
Tlnrd1
Sptssa
Lrrc8d
Zfyve9
Cbll1
Plb1
Rbm25
Ednra
Pds5b
Ubp1
G4
Uqcrq
Rab14
Smad1
Phka1
Cdh17
Adamts12
Ccdc47
Mab21l1
Fam214a
Ppp2r5e
Frk
Ube3a
Ago3
Dus1l
Ccr5
Abcb9
Arih1
Gpm6a
Epc1
Apopt1
Supt20h
Calcr
Tmem266
Ccdc43
Cxcl13
Tmem54
Mfsd6
Scara5
Naa11
Tspan4
R3hdm1
Elmod2
Hspa4l
Gpr158
Atp7a
Gli2
Retreg3
Vwa3a
Arl8b
Pip4k2a
Foxg1
Arfip1
Tmem178b
Casp2
Clec1a
Fcho2
RGD1306941
Chka
Irs2
Tle3
Fas
Srgap3
Tram1
Capn5
Kcna4
Jam3
Ppm1b
Cltc
Lurap1l
Polr3d
Spen
Mindy3
Josd1
Tgif1
Apob
Sec14l2
Nav3
LOC100125367
Mex3b
Cntn2
Hhip
Rasgrp1
Nufip1
Pla2r1
Azin1
Siglec5
Gpr180
Mier1
Plcb1
Nemp2
Tcf7l2
Rreb1
Pfn2
Plekho1
Slc35a1
Ammecr1l
Nup107
Bex3
Dtx2
Pank3
Cdip1
Mpz
Rab10
Saxo2
Cd276
Cfl2
Tmem25
Myh1
Abhd2
RGD1308117
Dpy19l4
Epb41l4a
Sv2b
Chac1
Tox
Calu
Cox20
Kdr
Faap20
Triap1
Ppp4r4
Zfp280b
Scube1
Sema4c
Fam43a
Asb3
Nr3c1
Tmem200a
H2afy
Eif3j
Ahctf1
Lrrc17
Lpin2
Nkd1
Gmcl1
Mfsd9
Elp1
Peli2
Atp2b2
Prickle1
Rhoj
Rimbp2
Ctnnbip1
Gripap1
Faslg
Hspa4
Trim41
Pgm2l1
Usp34
Serinc4
Lats2
Fermt2
Bnip3l
RGD1307100
Begain
Gap43
Zfr
Pbx1
Rps6ka2
Ppfia2
Mier3
Acvr1c
Mapk13
Trim63
Gnpda2
Acer2
Pgrmc1
Pik3cb
Clec7a
Nap1l5
Map4k4
Fbxl12
Usp46
Gpc2
Cldn12
Myrf
Pnkd
Opn3
Sun1
Cacna1b
Hbegf
Cacybp
Nedd4l
Spsb4
Stk39
Nkx2-2
Adcyap1
Tmem243
RGD1560455
Fam234b
Ccdc112
Marcks
Scn2a
Gad1
Arhgdia
Mmp15
Btg2
Rfx6
Stk38
P4ha2
Sel1l
Dcaf15
Cables1
Cckbr
RGD1311739
Usp42
Kirrel3
Phtf2
Wee1
Cdc25a
Dgcr8
Sstr3
Snrpc
Ndufab1
Ypel2
Adgrg2
Dcdc2
Fos
Abhd10
Il6
Cep41
Usf1
Ccdc93
Mesp2
Mmd
Smad4
Dagla
Klhl23
Slit3
Nipal4
Klf5
Rrh
Chd1
Cnot1
Zfp518a
Ube2i
Dll4
Sowahc
Dyrk2
Mtx1
Bclaf3
Actr1a
Ptp4a1
Rem2
Apln
Sar1a
B3gnt5
Rtf1
Tmprss13
Snapin
Slc6a9
Ppp3ca
Mtdh
Hcn4
Sik1
Acsl3
Enpep
Pcgf6
Ube2g1
Ubxn8
Trim23
Rnf217
Csgalnact2
Bcl6
Necab3
Ric3
Fam129c
Kidins220
Zfp367
Tiam1
Limk1
Nt5e
Extl2
Ubr7
Nr4a3
Vstm4
Cdc42bpa
Stox2
Ube2j1
Ago1
Evi5
Ebf2
Coq3
Psma1
Apba1
Rras2
C2cd2l
Dram1
LOC100911576
Golph3
Gas7
Fam210b
Pwwp2b
Slc7a10
Spag9
Best3
Nus1
Bhlhe22
RGD1309748
Hnrnpc
Omg
Tll1
Scn8a
Foxd1
Bmpr1a
Mllt10
Aldh5a1
Ywhaq
Mrpl47
Acsl4
Magee2
Rnf14
Kcnk2
Pxk
Ift20
Chtf8
Arl13b
Dusp5
Ddx19b
Bora
Creb3l2
Dstyk
Slc35c1
Pam
B3galt4
Ppm1l
Tmem237
Lin28a
Reln
Zfyve26
Anks1a
M6pr
RGD1564937
Ksr1
Gdi1
Med26
Dock9
Sept4
Ankhd1
Hnrnpf
Map3k11
Cggbp1
Phf20l1
Sp1
B4galt3
Zbtb7c
Nsd2
Myef2
Zfp64
Wfdc3
Zfp68
Gpx5
Wdr82
Gtf2h4
Ranbp10
Rdx
Ndst1
Mtfr1l
Myh10
Ndel1
Cyb561
Rnf165
Sptlc2
Fam83f
Map4k3
Usp32
Ubl4a
Gja1
Spry2
Daam1
Ppp1r1b
Tra2b
Mpped2
Grb7
Lypla1
Rab1a
Slc36a4
Gpsm1
LOC680039
Taf12
Fam45a
Tbk1
Fmr1
Vdr
Liph
Tnrc6a
Socs6
Exog
Lrrc32
Rin2
Ak2
Cdc34
Atp1b4
Cnr1
Spopl
Dnajc6
Klhl6
Dusp1
Zfp110
Gabrb1
Abhd18
Tmeff1
Rbm47
Klf6
Rab32
Arid4a
Abcd1
Sepsecs
Sptssb
Pcdha4
Slc23a1
Tent5d
Atp2a2
Ints2
Ppp1r1c
Ttc19
Trak1
Cops2
Usp5
Tspan14
Slc7a8
Gpbp1
Nrg1
Tmem260
Eps15
Chek1
Fut9
RGD1307947
Rab30
Psd4
Plce1
Tspan6
Ddx19a
Cth
Cdo1
Sema6d
Rrad
Stk35
Fbxo42
Tenm3
Psip1
Sbk1
Rasd1
Rai2
Net1
Phf19
Nap1l2
Ptgfrn
Srsf7
Abcb11
Gng5
Cbfa2t3
Lsm10
Cdk19
Aff4
Nova1
Gpr75
C2cd2
E2f7
Bicc1
Cdx2
Itgb1
Ralb
Npl
Gpr137c
Pbx3
Tgfbr1
Ret
Wwc2
Zfand6
Pex11a
Ctnnd1
Pcbp4
Fut1
Slc20a1
Mtmr7
Letm2
Ankrd34a
Gata4
Setd5
Ppargc1b
Rbm41
Cblb
Ptprm
Fads1
Flvcr2
Cnot7
Kctd17
Slc1a5
Rundc3b
Pctp
Ahcyl2
Ppme1
Ptx3
Cdk13
Adamts15
Slc35g2
Tcte1
Unc5c
Oxr1
Rtn3
Rnf34
Tmem9b
Adm
Gtpbp3
Map3k9
Mgat4a
Smim13
Ankrd17
Zfp819
Glb1l2
Snai1
Zfp644
Tmpo
Capn6
Zfpm2
Thoc2
Osgepl1
Hipk1
Higd1a
Zdhhc23
Polr3g
Snx15
Zwint
Ppp4r2
Cxcr3
Hells
Stradb
Rgma
Tsc22d1
Fscn1
Tbp
Mbnl3
Pla2g6
Esrra
St8sia3
Ube2d1
Nrcam
Pi4k2b
Osbpl11
H2afx
Capn15
Xkr6
Ccdc28a
Map1b
Pkd1
Rgs9
